iter	Logloss
0	0.6517732422
1	0.6180636719
2	0.5917052517
3	0.5687136502
4	0.5493296007
5	0.5332474609
6	0.5190857747
7	0.5073261719
8	0.497140701
9	0.4880631944
10	0.4810195421
11	0.474955599
12	0.4696333442
13	0.4651225586
14	0.460734668
15	0.4571655165
16	0.4540549371
17	0.4510981662
18	0.4486742839
19	0.446695128
20	0.4447324327
21	0.4427756293
22	0.4416397569
23	0.4402089193
24	0.4389365885
25	0.4377929362
26	0.4371442925
27	0.4361134223
28	0.435632997
29	0.4347597439
30	0.4341085178
31	0.4336660156
32	0.4333050456
33	0.432895638
34	0.4322027561
35	0.4318506293
36	0.4313177626
37	0.4305863607
38	0.4300271484
39	0.4298054362
40	0.4292955838
41	0.4290212348
42	0.4287714301
43	0.42848801
44	0.4280955621
45	0.4278287109
46	0.4275414605
47	0.4272842448
48	0.4270827474
49	0.4268880751
50	0.4266737088
51	0.4265118924
52	0.4261889214
53	0.4260245768
54	0.4256750868
55	0.4253199544
56	0.4251192817
57	0.4249268229
58	0.4247984484
59	0.4246252821
60	0.424418674
61	0.424183355
62	0.4240204427
63	0.4238353299
64	0.4237136719
65	0.4235639323
66	0.4234742839
67	0.4233463216
68	0.4230140734
69	0.4228545139
70	0.4226200629
71	0.422494694
72	0.4223922092
73	0.4222945855
74	0.422188444
75	0.4220532335
76	0.421906684
77	0.4217912218
78	0.4215889757
79	0.4214528103
80	0.4213604818
81	0.4212372938
82	0.421116862
83	0.4210122613
84	0.4209046766
85	0.4207134223
86	0.420524273
87	0.4203605252
88	0.4202730577
89	0.4201461046
90	0.419956977
91	0.4198861328
92	0.4197556315
93	0.4196225369
94	0.4194190213
95	0.4192915039
96	0.4191261285
97	0.4189768989
98	0.4189035699
99	0.4188188911
100	0.4186815538
101	0.4185842665
102	0.4185033746
103	0.4183141059
104	0.4181774631
105	0.4180929253
106	0.4179931532
107	0.4179149523
108	0.4178304905
109	0.4176766276
110	0.4175546115
111	0.4174891927
112	0.4174081923
113	0.4172685764
114	0.4171381076
115	0.4170003255
116	0.4169413303
117	0.4168262153
118	0.416743674
119	0.4166363932
120	0.4164879557
121	0.4163326823
122	0.4162196398
123	0.416138737
124	0.4160064453
125	0.415947895
126	0.4158593207
127	0.4157617513
128	0.4157171766
129	0.415645714
130	0.4155694119
131	0.4154520616
132	0.4153246202
133	0.4152457899
134	0.4151867188
135	0.415133941
136	0.41503125
137	0.4149125434
138	0.4148403103
139	0.4148019857
140	0.4147813043
141	0.4146223958
142	0.4146083767
143	0.4145601128
144	0.4145449761
145	0.4143984484
146	0.4143707574
147	0.4143665907
148	0.4143199978
149	0.4141507161
150	0.4140629123
151	0.4139615126
152	0.4138726997
153	0.4138257161
154	0.413713444
155	0.4136358724
156	0.4136162977
157	0.4136156033
158	0.4135591146
159	0.4134323134
160	0.4133856228
161	0.4133850152
162	0.4132924805
163	0.4131796115
164	0.4131787977
165	0.4131464952
166	0.413136122
167	0.4131352865
168	0.4130222114
169	0.412950651
