iter	Passed	Remaining
260	43815	124058
261	43976	123872
262	44138	123688
263	44299	123502
264	44464	123327
265	44625	123138
266	44788	122959
267	44953	122782
268	45116	122604
269	45280	122425
270	45444	122246
271	45608	122069
272	45770	121886
273	45938	121720
274	46098	121533
275	46266	121365
276	46434	121199
277	46600	121027
278	46768	120861
279	46937	120696
280	47104	120527
281	47271	120358
282	47436	120184
283	47607	120024
284	47767	119838
285	47930	119659
286	48092	119476
287	48261	119313
288	48426	119139
289	48594	118973
290	48757	118794
291	48918	118611
292	49079	118427
293	49243	118250
294	49407	118074
295	49569	117894
296	49733	117718
297	49899	117549
298	50062	117371
299	50230	117203
300	50391	117022
301	50560	116858
302	50732	116702
303	50891	116515
304	51057	116343
305	51218	116163
306	51379	115979
307	51543	115804
308	51707	115631
309	51874	115461
310	52039	115290
311	52202	115112
312	52362	114930
313	52526	114756
314	52689	114578
315	52851	114400
316	53012	114219
317	53175	114043
318	53337	113864
319	53500	113688
320	53661	113509
321	53825	113334
322	54000	113183
323	54167	113016
324	54335	112849
325	54502	112682
326	54674	112525
327	54836	112348
328	54998	112171
329	55158	111989
330	55324	111819
331	55490	111650
332	55662	111491
333	55823	111313
334	55989	111143
335	56154	110972
336	56318	110798
337	56489	110639
338	56660	110478
339	56824	110306
340	56985	110128
341	57148	109951
342	57310	109774
343	57469	109593
344	57631	109416
345	57791	109235
346	57953	109058
347	58118	108888
348	58280	108712
349	58442	108535
350	58603	108358
351	58764	108179
352	58925	108003
353	59087	107826
354	59248	107648
355	59409	107470
356	59572	107296
357	59732	107118
358	59898	106950
359	60060	106773
360	60219	106593
361	60379	106414
362	60544	106244
363	60707	106071
364	60869	105895
365	61029	105717
366	61187	105536
367	61365	105387
368	61532	105222
369	61699	105055
370	61860	104880
371	62027	104713
372	62192	104543
373	62354	104369
374	62515	104192
375	62676	104016
376	62842	103848
377	63010	103683
378	63177	103517
379	63348	103357
380	63518	103196
381	63687	103033
382	63848	102858
383	64010	102684
384	64178	102519
385	64349	102359
386	64518	102195
387	64691	102039
388	64851	101862
389	65011	101685
390	65177	101517
391	65345	101351
392	65516	101192
393	65687	101032
394	65853	100863
395	66023	100702
396	66194	100542
397	66359	100373
398	66527	100208
399	66698	100048
400	66863	99878
401	67030	99712
402	67260	99638
403	67431	99478
404	67596	99307
405	67760	99137
406	67926	98968
407	68090	98797
408	68257	98631
409	68422	98462
410	68593	98299
411	68752	98122
412	68914	97948
413	69079	97778
414	69245	97611
415	69410	97441
416	69583	97283
417	69746	97110
418	69908	96937
419	70070	96763
420	70238	96598
421	70400	96425
422	70568	96259
423	70732	96088
424	70894	95916
425	71062	95751
426	71226	95580
427	71393	95413
428	71560	95247
429	71723	95075
430	71888	94905
431	72055	94739
432	72217	94566
433	72380	94394
434	72545	94225
435	72706	94051
436	72870	93880
437	73033	93710
438	73194	93535
439	73357	93364
440	73522	93195
441	73686	93025
442	73846	92849
443	74009	92678
444	74170	92505
445	74333	92333
446	74497	92164
447	74660	91992
448	74823	91820
449	74985	91648
450	75147	91476
451	75310	91305
452	75474	91135
453	75638	90966
454	75799	90792
455	75961	90620
456	76123	90449
457	76290	90283
458	76451	90109
459	76617	89942
460	76778	89769
461	76944	89602
462	77105	89429
463	77267	89257
464	77434	89090
465	77606	88931
466	77769	88760
467	77934	88592
468	78108	88434
469	78270	88262
470	78435	88094
471	78602	87927
472	78762	87754
473	78925	87584
474	79092	87418
475	79260	87252
476	79426	87085
477	79598	86925
478	79760	86754
479	79922	86582
480	80082	86408
481	80246	86239
482	80413	86074
483	80579	85907
484	80745	85739
485	80914	85575
486	81080	85409
487	81249	85244
488	81418	85081
489	81592	84922
490	81754	84751
491	81914	84577
492	82080	84411
493	82245	84243
494	82414	84079
495	82582	83914
496	82744	83743
497	82908	83574
498	83070	83403
499	83232	83232
500	83392	83059
501	83557	82891
502	83724	82726
503	83893	82561
504	84053	82389
505	84220	82223
506	84386	82055
507	84554	81891
508	84722	81726
509	84883	81554
510	85045	81384
511	85210	81216
512	85373	81046
513	85533	80873
514	85692	80700
515	85858	80534
516	86027	80369
517	86196	80206
518	86363	80040
519	86526	79870
520	86690	79701
521	86851	79530
522	87011	79358
523	87174	79188
524	87333	79016
525	87496	78846
526	87659	78677
527	87819	78505
528	87985	78338
529	88152	78173
530	88319	78007
531	88491	77846
532	88660	77682
533	88827	77516
534	88993	77349
535	89157	77180
536	89328	77018
537	89499	76856
538	89672	76696
539	89834	76525
540	90000	76359
541	90178	76202
542	90343	76035
543	90509	75868
544	90681	75706
545	90849	75541
546	91013	75372
547	91176	75204
548	91342	75037
549	91512	74873
550	91683	74711
551	91850	74545
552	92013	74375
553	92178	74208
554	92344	74042
555	92513	73877
556	92679	73710
557	92844	73543
558	93008	73375
559	93168	73203
560	93333	73036
561	93496	72867
562	93659	72698
563	93824	72531
564	93989	72363
565	94149	72192
566	94311	72022
567	94474	71853
568	94636	71684
569	94798	71514
570	94962	71346
571	95122	71175
572	95284	71006
573	95447	70837
574	95605	70665
575	95770	70497
576	95938	70332
577	96105	70167
578	96272	70001
579	96438	69834
580	96610	69672
581	96772	69503
582	96938	69336
583	97101	69167
584	97265	68999
585	97429	68832
586	97598	68667
587	97759	68498
588	97926	68332
589	98086	68162
590	98249	67993
591	98413	67825
592	98574	67655
593	98740	67489
594	98905	67322
595	99073	67157
596	99235	66987
597	99398	66819
598	99558	66649
599	99719	66479
600	99879	66309
601	100044	66142
602	100215	65979
603	100383	65814
604	100556	65652
605	100718	65483
606	100880	65314
607	101044	65146
608	101209	64980
609	101368	64809
610	101534	64643
611	101699	64475
612	101862	64307
613	102026	64140
614	102187	63970
615	102349	63802
616	102516	63636
617	102680	63469
618	102838	63297
619	103001	63129
620	103172	62967
621	103342	62802
622	103508	62636
623	103674	62470
624	103833	62300
625	103998	62133
626	104162	61966
627	104330	61801
628	104497	61635
629	104662	61468
630	104824	61299
631	104988	61132
632	105157	60967
633	105323	60801
634	105486	60633
635	105659	60471
636	105820	60302
637	105982	60134
638	106147	59967
639	106313	59801
640	106475	59632
641	106638	59465
642	106800	59296
643	106964	59129
644	107128	58962
645	107290	58793
646	107455	58627
647	107617	58458
648	107783	58292
649	107948	58125
650	108108	57956
651	108274	57790
652	108441	57625
653	108602	57456
654	108762	57286
655	108927	57120
656	109094	56955
657	109262	56790
658	109430	56624
659	109599	56460
660	109760	56291
661	109923	56124
662	110090	55958
663	110257	55792
664	110425	55627
665	110594	55463
666	110759	55296
667	110917	55126
668	111079	54958
669	111245	54792
670	111414	54627
671	111584	54464
672	111745	54295
673	111906	54127
674	112068	53958
675	112233	53792
676	112400	53626
677	112574	53464
678	112735	53296
679	112896	53127
680	113063	52962
681	113227	52795
682	113392	52628
683	113553	52460
684	113713	52291
685	113879	52125
686	114039	51956
687	114205	51790
688	114368	51623
689	114540	51460
690	114704	51293
691	114866	51125
692	115034	50960
693	115202	50795
694	115368	50629
695	115536	50464
696	115697	50296
697	115901	50146
698	116079	49985
699	116242	49818
700	116407	49651
701	116581	49489
702	116746	49322
703	116910	49155
704	117073	48988
705	117239	48821
706	117402	48654
707	117568	48488
708	117731	48321
709	117893	48153
710	118054	47985
711	118224	47821
712	118387	47653
713	118560	47490
714	118723	47323
715	118884	47155
716	119048	46988
717	119214	46822
718	119383	46657
719	119555	46493
720	119719	46327
721	119882	46159
722	120048	45993
723	120216	45828
724	120384	45663
725	120556	45499
726	120718	45331
727	120880	45164
728	121040	44995
729	121215	44833
730	121383	44667
731	121555	44503
732	121717	44336
733	121884	44170
734	122047	44003
735	122211	43836
736	122376	43670
737	122549	43506
738	122713	43340
739	122877	43173
740	123038	43005
741	123205	42839
742	123371	42673
743	123544	42509
744	123709	42343
745	123879	42178
746	124048	42013
747	124215	41848
748	124382	41682
749	124555	41518
750	124717	41351
751	124882	41184
752	125051	41019
753	125219	40854
754	125385	40687
755	125557	40523
756	125721	40357
757	125883	40189
758	126049	40023
759	126217	39858
760	126387	39693
761	126555	39527
762	126718	39360
763	126880	39193
764	127047	39027
765	127213	38861
766	127377	38694
767	127549	38530
768	127710	38362
769	127873	38195
770	128034	38028
771	128198	37861
772	128361	37694
773	128534	37530
774	128697	37363
775	128856	37195
776	129024	37030
777	129191	36864
778	129360	36699
779	129531	36534
780	129693	36367
781	129856	36200
782	130020	36033
783	130188	35868
784	130354	35702
785	130521	35536
786	130685	35369
787	130846	35202
788	131010	35035
789	131176	34869
790	131343	34703
791	131508	34537
792	131674	34371
793	131838	34205
794	132001	34038
795	132168	33872
796	132334	33706
797	132501	33540
798	132667	33374
799	132831	33207
800	132998	33042
801	133166	32876
802	133335	32711
803	133505	32546
804	133671	32380
805	133835	32213
806	134000	32047
807	134166	31881
808	134335	31715
809	134500	31549
810	134664	31382
811	134829	31216
812	134995	31050
813	135159	30884
814	135330	30719
815	135496	30553
816	135660	30386
817	135826	30220
818	135992	30054
819	136158	29888
820	136326	29722
821	136495	29557
822	136660	29391
823	136823	29224
824	136987	29058
825	137154	28892
826	137319	28725
827	137487	28560
828	137652	28393
829	137816	28227
830	137983	28061
831	138153	27896
832	138321	27730
833	138487	27564
834	138651	27398
835	138816	27231
836	138985	27066
837	139153	26900
838	139317	26734
839	139487	26569
840	139652	26402
841	139815	26236
842	139984	26070
843	140154	25905
844	140318	25738
845	140488	25573
846	140654	25407
847	140815	25240
848	140979	25074
849	141144	24907
850	141312	24742
851	141480	24576
852	141643	24409
853	141809	24243
854	141972	24077
855	142139	23911
856	142306	23745
857	142472	23579
858	142637	23413
859	142801	23246
860	142969	23081
861	143138	22915
862	143304	22749
863	143469	22583
864	143636	22417
865	143799	22250
866	143968	22085
867	144133	21918
868	144297	21752
869	144462	21586
870	144634	21421
871	144795	21254
872	144962	21088
873	145126	20922
874	145293	20756
875	145464	20590
876	145633	20425
877	145802	20259
878	145974	20094
879	146140	19928
880	146306	19762
881	146475	19596
882	146643	19430
883	146808	19264
884	146974	19098
885	147143	18932
886	147311	18766
887	147480	18601
888	147645	18434
889	147813	18269
890	147981	18103
891	148149	17937
892	148316	17771
893	148486	17605
894	148651	17439
895	148816	17273
896	148986	17107
897	149152	16941
898	149323	16776
899	149493	16610
900	149656	16443
901	149822	16277
902	149993	16112
903	150161	15946
904	150331	15780
905	150503	15615
906	150665	15448
907	150837	15283
908	151004	15117
909	151166	14950
910	151337	14784
911	151507	14619
912	151672	14452
913	151837	14286
914	152004	14120
915	152170	13954
916	152337	13788
917	152509	13622
918	152670	13456
919	152832	13289
920	153000	13123
921	153167	12957
922	153336	12791
923	153504	12625
924	153668	12459
925	153829	12293
926	153995	12126
927	154160	11960
928	154332	11795
929	154505	11629
930	154667	11462
931	154833	11296
932	154999	11130
933	155167	10964
934	155332	10798
935	155501	10632
936	155665	10466
937	155829	10300
938	155998	10134
939	156165	9968
940	156337	9802
941	156506	9636
942	156666	9469
943	156829	9303
944	156997	9137
945	157163	8971
946	157333	8805
947	157500	8639
948	157661	8472
949	157827	8306
950	157991	8140
951	158158	7974
952	158321	7808
953	158491	7642
954	158653	7475
955	158814	7309
956	158982	7143
957	159149	6977
958	159314	6811
959	159482	6645
960	159646	6478
961	159809	6312
962	159970	6146
963	160140	5980
964	160307	5814
965	160476	5648
966	160640	5482
967	160803	5315
968	160970	5149
969	161138	4983
970	161302	4817
971	161467	4651
972	161631	4485
973	161796	4318
974	161960	4152
975	162131	3986
976	162299	3820
977	162465	3654
978	162628	3488
979	162793	3322
980	162959	3156
981	163125	2990
982	163294	2824
983	163463	2657
984	163626	2491
985	163791	2325
986	163957	2159
987	164123	1993
988	164290	1827
989	164457	1661
990	164621	1495
991	164854	1329
992	165020	1163
993	165192	997
994	165359	830
995	165528	664
996	165694	498
997	165856	332
998	166023	166
999	166193	0
