iter	MultiClass
140	0.1965913918
141	0.195583389
142	0.195078859
143	0.1945562754
144	0.1938126285
145	0.1929774853
146	0.1923825585
147	0.191516279
148	0.1908980908
149	0.190343861
150	0.1897712918
151	0.1892549087
152	0.1886436924
153	0.1879881188
154	0.1872286907
155	0.1865089901
156	0.1857988002
157	0.1852513161
158	0.1845592586
159	0.1837970804
160	0.1830309778
161	0.1823323702
162	0.1816413564
163	0.1809883343
164	0.1804287507
165	0.179824519
166	0.1792014276
167	0.178490703
168	0.1776368244
169	0.1768300691
170	0.1761561021
171	0.1754961292
172	0.1749272568
173	0.1744594385
174	0.1738503383
175	0.1732342685
176	0.1727035307
177	0.1721338738
178	0.1717362166
179	0.1709608472
180	0.1704990051
181	0.1698779103
182	0.1694791039
183	0.168862011
184	0.1683258315
185	0.167797627
186	0.1671952856
187	0.1666287472
188	0.1661244036
189	0.165539678
190	0.1649566927
191	0.1644731396
192	0.1639386247
193	0.1634772011
194	0.1628277758
195	0.1623163766
196	0.16183975
197	0.1614341908
198	0.1608678377
199	0.1604112883
200	0.1597908826
201	0.1594045948
202	0.1589411461
203	0.1584621062
204	0.1580568869
205	0.1576753241
206	0.157096118
207	0.1567498939
208	0.156102351
209	0.1556913941
210	0.1551264447
211	0.1546086796
212	0.1542234687
213	0.153660925
214	0.153267308
215	0.1526599225
216	0.1520883639
217	0.1515761275
218	0.1511355145
219	0.1507018662
220	0.1503484719
221	0.1499372877
222	0.1494324966
223	0.1490535254
224	0.1485994208
225	0.1483152487
226	0.1477829465
227	0.1474368306
228	0.1470605624
229	0.1465354032
230	0.1461920685
231	0.1457948843
232	0.145377027
233	0.1450599751
234	0.1445535185
235	0.1441042417
236	0.143762114
237	0.1432533834
238	0.1428407371
239	0.1424101151
240	0.1419020856
241	0.1413873356
242	0.1411527442
243	0.1408133187
244	0.1404144911
245	0.1401498156
246	0.1398207526
247	0.139505906
248	0.1391641649
249	0.1387518296
250	0.138421275
251	0.1379156011
252	0.1376815213
253	0.137442739
254	0.1369461566
255	0.1364373047
256	0.1360540981
257	0.1357186022
258	0.1353150497
259	0.1349780144
260	0.1345993031
261	0.1342584416
262	0.1338264621
